names	nick	depth	depth_layer	isolation_source	Habitat_1	Habitat_0	rf	Lifestyle	grouping	diet	diet_algae	diet_carrion	diet_sediment	site	host_species	host_order	host_Superfamily	host_family	host_genus
KA4	Tsal2	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Talitrus saltator	Amphipoda	Talitroidea	Talitridae	Talitrus
KA5	Tsal3	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Talitrus saltator	Amphipoda	Talitroidea	Talitridae	Talitrus
KA6	Ostep2	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Orchestia stephenseni	Amphipoda	Talitroidea	Talitridae	Orchestia
KA8	Omon2	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Orchestia montagui	Amphipoda	Talitroidea	Talitridae	Orchestia
KA9	Spel3	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Sardorchestia pelecaniformis	Amphipoda	Talitroidea	Talitridae	Sardorchestia
XM1	Ampe2	7.7	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM2	Ampe5	5	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM4	Ampe4	5.7	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM5	Ampe10	5	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM6	Ampe11	8.2	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM7	Ampe8	7.7	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM9	Ampe1	7.5	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM10	Ampe7	8.8	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM12.1	Ampe6	7.3	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
XM12.2	Ampe9	7.3	0-200	Amphipod	Aquatic	Subtidal	SB	Benthic	Detritivore	Detritivore	0	1	1	XM	Ampeliscidae sp.	Amphipoda	Ampeliscoidea	Ampeliscidae	NA
