	AD7	AG1	AG2	AG3	AG4	AG6	AG5	AD9	AG7	Emag1	Emag3	Prin1	Prin2	Prin3	Prin4	Eusp1	Eusp2	Eusp3	Eusp4	Emag4	Emag5	Emag6	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Halice1	Halice2	Halice3	Halice4	Halice5	Hgigas1	Hgigas3	Hgigas4	Hgigas5	Hgigas6	Hgigas7	Hgigas8	Hgigas9	Hya6	SYA	SYB	SYC	AD10	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	W10500-1	W10500-2	W10400-1	W10400-2	W10400-4	W10500-3	W10500-4	W10400-5	W10400-6	W9600-1	W9600-2	W4000-1	W4000-2	W4000-3	W4000-4	W9600-3	W4000-5	W9600-6	3KL	3KS	5KL	5KS	7KL	7KS	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9	SRR5757138	SRR5757139	SRR5757140	SRR5757145	SRR5757146	SRR5757147	SRR5757148	SRR5757149	SRR5757154	SRR5757155	SRR5757156	SRR5757157	SRR5757158	SRR5757159	SRR5757160	SRR5757161	SRR11095128	SRR11095139	SRR11095150	SRR11095161	SRR11095162
Emag3	0.787612026	0.679742885	0.823567559	0.705392956	0.690795983	0.64311123	0.768577798	0.685787696	0.588467091	0.53656312	0	0.779199525	0.699923759	0.675434045	0.665197876	0.636198815	0.685675762	0.606121374	0.644996961	0.674189563	0.733027947	0.664072893	0.867209915	0.852457832	0.838561668	0.86880399	0.833637778	0.868699723	0.839271984	0.856410504	0.84088391	0.782394614	0.779436793	0.783308246	0.788804957	0.780980023	0.800830604	0.784536189	0.78658451	0.767252715	0.840229942	0.786471459	0.886910465	0.806987626	0.83132513	0.816533509	0.803554428	0.827570581	0.738508238	0.865963463	0.79956555	0.818204856	0.781231421	0.758692255	0.711465642	0.829159521	0.74479829	0.830481056	0.834095574	0.8445841	0.771378584	0.900956041	0.865410789	0.889138636	0.872596952	0.890563989	0.886876415	0.89607585	0.876485464	0.889722842	0.903230418	0.871730938	0.896203767	0.898455529	0.91378749	0.906608675	0.871596549	0.8620192	0.863890804	0.898446009	0.884873727	0.876136124	0.889379187	0.895411583	0.880911754	0.789993351	0.806021366	0.73433826	0.823994327	0.752661195	0.748551919	0.79807468	0.742059212	0.808051078	0.763303013	0.811305507	0.64683811	0.874307712	0.898020661	0.889015311	0.857244254	0.854019424	0.890794257	0.884116244	0.889331688	0.906271982	0.893359744	0.81228116	0.864184736	0.908351057	0.905463658	0.830380049	0.872997903	0.955045563	0.960629266	0.929183744	0.93652745	0.949300764
Prin1	0.806880081	0.664922624	0.833191776	0.679410563	0.695362561	0.812308579	0.86549704	0.795800045	0.798281282	0.824132749	0.779199525	0	0.367143762	0.462298933	0.530881372	0.851869074	0.84082337	0.81856975	0.830791796	0.794645667	0.867812118	0.857058101	0.908093247	0.889410786	0.855608445	0.885470747	0.854675783	0.911280383	0.880182576	0.921366164	0.896285845	0.687157777	0.667020556	0.731992441	0.651652301	0.673468425	0.746296837	0.724513357	0.766463825	0.725022942	0.750537244	0.753795481	0.874131107	0.754149942	0.862095027	0.855408789	0.879468612	0.852940417	0.800960487	0.905332764	0.870427803	0.896971199	0.876620803	0.856677529	0.824763021	0.879957821	0.856501564	0.888568531	0.905733891	0.911313895	0.865115498	0.948478206	0.933748182	0.945050734	0.927293636	0.936652207	0.937914834	0.942391747	0.929906941	0.931709031	0.945798006	0.933427066	0.953202491	0.945348746	0.957944178	0.948875267	0.928977457	0.935812723	0.926991871	0.944417166	0.946644673	0.932863333	0.95229769	0.938069115	0.927523368	0.776984222	0.829417765	0.826833448	0.874925076	0.763337721	0.717965197	0.875715634	0.857911302	0.889942858	0.857667445	0.870423677	0.765607442	0.915459352	0.932815709	0.929182125	0.886926026	0.914003654	0.91576479	0.924482455	0.927375843	0.936081384	0.936789885	0.881147687	0.908488929	0.936395475	0.940553483	0.884172813	0.927209534	0.957357758	0.963576967	0.950234969	0.949235702	0.959380244
Prin2	0.789330762	0.616123873	0.843393761	0.638029609	0.636583759	0.739453033	0.776733612	0.755159916	0.694054866	0.76086381	0.699923759	0.367143762	0	0.467275944	0.493301237	0.816733333	0.813944922	0.77103706	0.778263473	0.764015029	0.806402957	0.757222479	0.885307108	0.86232506	0.823246877	0.870435865	0.840880842	0.887086144	0.845581631	0.885745443	0.864490964	0.636330841	0.528221907	0.640692828	0.608996671	0.613541011	0.653065585	0.614330475	0.687643789	0.627264134	0.727685875	0.653669739	0.862574858	0.736409121	0.847293229	0.810296624	0.83431098	0.819491506	0.773593508	0.889651622	0.835501678	0.869856699	0.840914142	0.806857012	0.772893614	0.849909463	0.814089438	0.861608153	0.88045629	0.878019097	0.827999867	0.926484876	0.887488176	0.919307524	0.898929947	0.916631656	0.909277969	0.922685735	0.910551662	0.91996087	0.930377098	0.911243714	0.927011556	0.915161633	0.929527712	0.936424827	0.911769608	0.920905056	0.901873305	0.919536759	0.923997561	0.907748175	0.912145807	0.916208442	0.905463471	0.740916324	0.809017558	0.77873966	0.859251046	0.726603191	0.647760016	0.845114192	0.820176305	0.868091931	0.831096588	0.848457341	0.681225265	0.897383706	0.926451793	0.915395417	0.865131914	0.894034635	0.909672474	0.914012045	0.917011722	0.930669432	0.928864827	0.850919713	0.896751823	0.933069166	0.931568929	0.871242851	0.911075667	0.956756033	0.960955861	0.938788881	0.940876069	0.960484587
Prin3	0.797978777	0.618184201	0.85368805	0.661918083	0.669296007	0.7301519	0.826186484	0.721688731	0.646697282	0.740544646	0.675434045	0.462298933	0.467275944	0	0.516446852	0.79953787	0.788407666	0.745245465	0.773384047	0.795845586	0.850635267	0.812558917	0.894042014	0.86943324	0.833007094	0.869991617	0.839403841	0.894280673	0.858479318	0.892177308	0.874549149	0.674452878	0.670749488	0.72982989	0.66894146	0.697620903	0.756187927	0.737592828	0.778388583	0.72282584	0.801286155	0.756688554	0.907238174	0.818552509	0.834956959	0.813224181	0.81746632	0.814785663	0.788630013	0.890083964	0.838678173	0.870213091	0.846951962	0.810578972	0.796278046	0.860025819	0.824959855	0.871367389	0.880460802	0.874808783	0.830889569	0.919483665	0.890151535	0.907678386	0.891796512	0.907897004	0.907891743	0.907732843	0.897725751	0.904676403	0.921978843	0.902555581	0.926787561	0.912572629	0.92732681	0.927910936	0.898896805	0.903016009	0.891498556	0.914057962	0.912391856	0.900148626	0.913389422	0.908832334	0.89407924	0.768882297	0.808282961	0.764136919	0.840775226	0.724946853	0.68748061	0.81564518	0.7847208	0.837346599	0.784925758	0.835097452	0.696845259	0.895835863	0.914754681	0.908114028	0.861309065	0.88536079	0.898540672	0.899356697	0.90538232	0.915210058	0.916055323	0.840389367	0.875728589	0.914587689	0.918694582	0.846337699	0.902574094	0.950013623	0.956864852	0.929845979	0.930457231	0.950474969
Prin4	0.760040184	0.679412534	0.897863267	0.670165406	0.693231261	0.757753616	0.84866378	0.688328062	0.737723245	0.731049838	0.665197876	0.530881372	0.493301237	0.516446852	0	0.755663541	0.751931766	0.723771199	0.752456913	0.786089618	0.8700548	0.844799694	0.882653467	0.86769028	0.839807051	0.87107935	0.838652239	0.887755376	0.853763532	0.895596348	0.864712422	0.761298731	0.69618574	0.779675478	0.730231467	0.742490033	0.795114693	0.781898591	0.818498263	0.771510368	0.853888619	0.798045761	0.935188095	0.840112713	0.823354565	0.855854345	0.850562885	0.849462237	0.731854361	0.848645125	0.796624955	0.832267739	0.800760702	0.768160448	0.753349491	0.816231002	0.792408479	0.825692826	0.841595845	0.842903978	0.806412857	0.900991501	0.886727418	0.890806108	0.877176063	0.886125017	0.880185852	0.894023316	0.880146324	0.887570741	0.899672726	0.877469707	0.899209463	0.898244806	0.911847081	0.907864774	0.876957316	0.884109617	0.871377747	0.911714422	0.90458353	0.89106566	0.898243078	0.901959562	0.888528059	0.713750941	0.752014012	0.726779325	0.798649736	0.656203973	0.631809501	0.772287564	0.740949853	0.79638475	0.743886236	0.791724367	0.708670866	0.873489507	0.895429824	0.87730864	0.837346123	0.850014578	0.883265261	0.876804732	0.885959484	0.90218928	0.895679664	0.813454505	0.855212433	0.9011569	0.898761551	0.825736382	0.87741997	0.937367318	0.949359261	0.920679147	0.921366914	0.944580164
Eusp1	0.754059937	0.757521792	0.908692985	0.767337716	0.778991445	0.718221761	0.846568614	0.732111993	0.788680992	0.671191548	0.636198815	0.851869074	0.816733333	0.79953787	0.755663541	0	0.51519088	0.470081608	0.506106542	0.737919328	0.790494314	0.79144427	0.810976807	0.80489343	0.775293798	0.803484959	0.784508755	0.816283111	0.798933433	0.832161645	0.811151597	0.860852538	0.839919324	0.855150367	0.849875189	0.854550997	0.852488816	0.859074732	0.845365676	0.858145015	0.904043894	0.860855108	0.941177762	0.865511886	0.777260907	0.854138868	0.818732507	0.846183618	0.693342184	0.807028185	0.785974824	0.779724926	0.762905265	0.730553025	0.702797729	0.79273459	0.716317273	0.783826526	0.76662278	0.829339734	0.761233774	0.852886374	0.834038501	0.857354347	0.848334619	0.846214282	0.843578264	0.844983501	0.855297391	0.861251277	0.853982162	0.834311957	0.835552401	0.860337904	0.846378047	0.842868286	0.823907582	0.823212333	0.823705334	0.870085832	0.854654126	0.850843446	0.87245077	0.867817998	0.853686402	0.700850853	0.722557257	0.728885922	0.795393891	0.724794354	0.758896685	0.787904213	0.779885841	0.773343021	0.760646259	0.813561012	0.663152115	0.852715471	0.87515989	0.85801819	0.843647076	0.844120523	0.869507225	0.867209239	0.857477427	0.867410103	0.871894522	0.829762625	0.822573621	0.870811803	0.883930525	0.826466282	0.838826653	0.906850014	0.932215902	0.877461604	0.891630401	0.890801408
Eusp2	0.754609759	0.749054125	0.910510062	0.774291991	0.77093992	0.69648996	0.812477125	0.723096697	0.780849789	0.673628678	0.685675762	0.84082337	0.813944922	0.788407666	0.751931766	0.51519088	0	0.422765151	0.540309916	0.740431273	0.802424199	0.803218845	0.830995465	0.799079718	0.76602332	0.822157535	0.773899508	0.829405799	0.782028548	0.831891147	0.799399693	0.841795064	0.834797784	0.849407766	0.842540606	0.850538619	0.850286284	0.858595219	0.855297407	0.858996576	0.902329124	0.874383998	0.938800356	0.885063696	0.766706889	0.86507734	0.839414818	0.84809903	0.714705963	0.83147263	0.795562584	0.805574557	0.791314159	0.778902293	0.761905456	0.821656616	0.764102432	0.824053606	0.806137905	0.835001306	0.776606074	0.879525374	0.863467388	0.88299198	0.869918558	0.874718733	0.864153245	0.874460547	0.887667387	0.884471783	0.87926527	0.861272037	0.87263995	0.870433419	0.881801606	0.870855416	0.85006803	0.871753616	0.856340148	0.882975639	0.874940451	0.862908627	0.876658768	0.873306647	0.86254483	0.75143855	0.765228211	0.720557749	0.797517455	0.766067438	0.798536367	0.781254237	0.770284556	0.768358087	0.782596705	0.795738605	0.749349817	0.840842595	0.874142185	0.845550808	0.830287541	0.829006009	0.864013217	0.864064726	0.847994371	0.870497986	0.868330841	0.808113206	0.815692426	0.869949151	0.874663611	0.809370998	0.83417095	0.927773709	0.941017351	0.907307694	0.912841995	0.91615055
Eusp3	0.747709764	0.715358244	0.876497948	0.754743251	0.754166132	0.63359335	0.777482204	0.706192096	0.727213386	0.620517483	0.606121374	0.81856975	0.77103706	0.745245465	0.723771199	0.470081608	0.422765151	0	0.491776786	0.7119985	0.746388732	0.749088374	0.82469548	0.795248283	0.757628758	0.80822942	0.773033121	0.830648607	0.788000532	0.816654344	0.786349907	0.84131614	0.809789184	0.83598349	0.83226333	0.835400257	0.823980073	0.83529744	0.814338324	0.833669748	0.887120301	0.820646299	0.923490952	0.853248579	0.754913795	0.831597446	0.803243805	0.806510579	0.71844955	0.844569489	0.798787196	0.809037459	0.785657556	0.770819818	0.758630044	0.822795813	0.759952756	0.830623858	0.810365879	0.838569626	0.773651401	0.862591295	0.840494755	0.869119308	0.85270098	0.861369311	0.847657097	0.855892583	0.870695566	0.873307959	0.874115705	0.854192536	0.865054548	0.857426125	0.871575234	0.872768531	0.843774632	0.869668934	0.844185678	0.878962065	0.868134213	0.85543104	0.869018554	0.87113775	0.859981228	0.746300144	0.759732053	0.706292349	0.801132014	0.77024294	0.773045085	0.772771358	0.767089216	0.78195086	0.764849468	0.827103938	0.704796922	0.849869064	0.88900999	0.859468595	0.847253729	0.842602291	0.873581501	0.871021815	0.86017392	0.881247329	0.878973414	0.815555824	0.819933829	0.879076069	0.886961054	0.820135665	0.845205135	0.931506604	0.943162129	0.895853952	0.904055195	0.915341565
Eusp4	0.758273873	0.708827188	0.854875911	0.758295929	0.761952175	0.59692139	0.764049603	0.689729306	0.683849099	0.606202471	0.644996961	0.830791796	0.778263473	0.773384047	0.752456913	0.506106542	0.540309916	0.491776786	0	0.715804812	0.70326671	0.739072401	0.813819761	0.80238398	0.787571014	0.798016504	0.772424684	0.812807048	0.786095637	0.795836684	0.78508658	0.82187486	0.821214859	0.836391259	0.830568674	0.833856055	0.818214149	0.828188719	0.794972681	0.826555066	0.894708454	0.825021064	0.910285318	0.844622096	0.751775851	0.810884726	0.786274371	0.806335366	0.707787597	0.855896119	0.821476289	0.830942356	0.812432583	0.786880861	0.771631267	0.831687644	0.761577757	0.837081802	0.834684668	0.833325156	0.797767212	0.866048591	0.843453725	0.876622136	0.863609363	0.868210303	0.858454703	0.860252534	0.871605662	0.882491274	0.880902655	0.86422477	0.868376549	0.851452471	0.868080151	0.876750013	0.852502868	0.868083338	0.857334383	0.879987501	0.869521702	0.859656917	0.87346743	0.879900848	0.862769096	0.733864972	0.744265553	0.697495825	0.808547572	0.773029953	0.753252821	0.771561467	0.775149881	0.767535163	0.782580093	0.797680461	0.715191291	0.857536826	0.903687736	0.874402839	0.851008564	0.845546278	0.889024183	0.886188422	0.881610089	0.888428336	0.886789209	0.812851181	0.840162138	0.887260462	0.890870406	0.819930511	0.860110937	0.932116974	0.95002359	0.903292962	0.910500141	0.914196229
Emag4	0.800633558	0.652361804	0.838611568	0.732530971	0.681810497	0.704542291	0.724104371	0.734140115	0.730585186	0.653816079	0.674189563	0.794645667	0.764015029	0.795845586	0.786089618	0.737919328	0.740431273	0.7119985	0.715804812	0	0.567435331	0.584662127	0.862237117	0.819897697	0.810599707	0.838574371	0.825897491	0.854120089	0.823291881	0.828174669	0.791179084	0.761052102	0.750574948	0.685818234	0.756275065	0.693323272	0.692667831	0.690594557	0.720639612	0.691604498	0.788693566	0.742085652	0.838534037	0.762711456	0.842600381	0.782009309	0.814088641	0.778691857	0.7431268	0.916085753	0.87664748	0.890565037	0.872064549	0.854038891	0.800806536	0.897612419	0.815694663	0.90074421	0.893260788	0.881220934	0.866153542	0.892358067	0.860908599	0.897455796	0.876347031	0.888635504	0.87682093	0.896557836	0.89124576	0.898545003	0.911747417	0.901102555	0.912227364	0.898058049	0.905932135	0.920938406	0.896849388	0.915362235	0.884274619	0.902189455	0.896471284	0.894640088	0.900413184	0.903329528	0.893863504	0.821689454	0.836829019	0.817371613	0.844569446	0.859583794	0.825114168	0.864219115	0.839813539	0.853306681	0.844692715	0.863230503	0.800657575	0.906301594	0.934117117	0.915379728	0.909407586	0.895512022	0.92165009	0.923819346	0.923683379	0.934031475	0.927909334	0.875045092	0.889418446	0.924019988	0.932821279	0.862085319	0.911676995	0.955999105	0.967303341	0.926796874	0.931370118	0.949827216
Emag5	0.856759292	0.722369252	0.786897822	0.821975822	0.774933785	0.709788891	0.624488002	0.822991085	0.708351464	0.707425074	0.733027947	0.867812118	0.806402957	0.850635267	0.8700548	0.790494314	0.802424199	0.746388732	0.70326671	0.567435331	0	0.443919226	0.885029984	0.849447683	0.837521745	0.864081379	0.864187274	0.873388155	0.86106018	0.839024573	0.833496799	0.799321048	0.808904439	0.738837144	0.802137111	0.763137961	0.713004047	0.720082719	0.612559443	0.73931581	0.805839316	0.680042837	0.75577368	0.742143554	0.870556233	0.74921074	0.820139755	0.783239839	0.835961846	0.935464988	0.910662028	0.92159421	0.901807179	0.893987715	0.842914553	0.921786739	0.850047285	0.928241845	0.920110295	0.895694926	0.899613975	0.897334548	0.847165859	0.910360415	0.895759446	0.886962843	0.879969456	0.895310331	0.891099431	0.907746609	0.915475895	0.905968779	0.90793834	0.885887568	0.897060357	0.928596761	0.90786578	0.934535089	0.894864964	0.896696802	0.908993969	0.894171787	0.889539725	0.903329894	0.899415353	0.87012964	0.882270203	0.855721898	0.906753587	0.904970465	0.888398712	0.897162839	0.87619233	0.891821392	0.89266648	0.903533613	0.814663079	0.926397761	0.953896635	0.941901482	0.927608972	0.920397932	0.94341174	0.94492056	0.94124051	0.946314834	0.947907431	0.890000057	0.9241443	0.943579221	0.950808913	0.901532499	0.938020153	0.968083889	0.977797709	0.937815311	0.940950506	0.959770004
Emag6	0.84685794	0.667207842	0.770386372	0.779661826	0.712271801	0.636394812	0.568531537	0.788694348	0.641380373	0.638019665	0.664072893	0.857058101	0.757222479	0.812558917	0.844799694	0.79144427	0.803218845	0.749088374	0.739072401	0.584662127	0.443919226	0	0.871404787	0.830345718	0.800884748	0.853414244	0.842885659	0.85574036	0.845449817	0.823586707	0.813152518	0.767307006	0.77814467	0.749831714	0.794068935	0.772213847	0.729585036	0.720340089	0.637577261	0.728417364	0.818547815	0.727340826	0.7755029	0.741293712	0.842893395	0.751153589	0.775428498	0.78386332	0.807109683	0.926923713	0.89824567	0.909046073	0.890451057	0.872582413	0.814026312	0.914635771	0.821528876	0.917465916	0.910928458	0.872533838	0.884853265	0.884233784	0.827824089	0.896688217	0.873170441	0.872457239	0.864568941	0.880864327	0.87501499	0.895821274	0.909717365	0.896644251	0.90265409	0.879734522	0.889237258	0.924481012	0.901269366	0.923678431	0.883862324	0.886486964	0.898318523	0.885565397	0.877488883	0.895690504	0.894555193	0.841646366	0.851431968	0.831295442	0.883759157	0.882503565	0.853258985	0.874064666	0.848433924	0.878367206	0.872950549	0.889542892	0.77870702	0.915195151	0.949743545	0.934159878	0.916571636	0.911285002	0.9353649	0.938271073	0.934627494	0.940845819	0.941591972	0.880292991	0.915259137	0.939586481	0.946286349	0.884509291	0.929235936	0.964486209	0.974503473	0.933477045	0.939244992	0.955696334
Hya1	0.833419545	0.852717969	0.957689373	0.858134425	0.863615558	0.870098628	0.903909991	0.838203918	0.904902851	0.852614563	0.867209915	0.908093247	0.885307108	0.894042014	0.882653467	0.810976807	0.830995465	0.82469548	0.813819761	0.862237117	0.885029984	0.871404787	0	0.469865547	0.550863082	0.404360729	0.437344379	0.308609937	0.738310252	0.776650386	0.757542208	0.888981101	0.872268197	0.90066153	0.883906929	0.901290121	0.898526685	0.905274871	0.900600663	0.910129446	0.93046227	0.917618993	0.958976945	0.930369218	0.624959581	0.848546879	0.798453265	0.827781597	0.782736559	0.859343846	0.887239696	0.86168614	0.877433279	0.858342745	0.833736677	0.852429935	0.825307903	0.864029466	0.837555808	0.875347791	0.864840894	0.835834647	0.816931548	0.862973369	0.853381132	0.850507724	0.835086661	0.836130936	0.862450706	0.850753429	0.84750609	0.83340991	0.836512301	0.85914366	0.85059138	0.840812246	0.825652759	0.865795919	0.842896346	0.861066149	0.853161268	0.854655246	0.873778106	0.854146697	0.863223317	0.653998146	0.670740665	0.837306353	0.842767623	0.853946433	0.866804747	0.842721015	0.858168407	0.819749137	0.858436706	0.851267602	0.865568485	0.873097471	0.913784417	0.893644304	0.872029493	0.889275018	0.909995974	0.903082591	0.869809587	0.883862255	0.903510983	0.896622173	0.874653473	0.880334896	0.910222572	0.890962025	0.880766366	0.910612765	0.938905822	0.873371851	0.891525684	0.889927741
Hya2	0.813971649	0.798406812	0.943742597	0.825361714	0.819488699	0.833982096	0.861324493	0.825148018	0.878034874	0.831663073	0.852457832	0.889410786	0.86232506	0.86943324	0.86769028	0.80489343	0.799079718	0.795248283	0.80238398	0.819897697	0.849447683	0.830345718	0.469865547	0	0.44487614	0.519252269	0.328778212	0.434769726	0.714646497	0.755475795	0.721888916	0.857978796	0.853427495	0.873235422	0.854476249	0.871407388	0.861965508	0.871970825	0.871808293	0.872712053	0.909018807	0.896291446	0.941875409	0.909526487	0.632394888	0.832684049	0.781987503	0.803176065	0.745269194	0.870030426	0.885457087	0.868253029	0.868510158	0.865221284	0.810613155	0.860945944	0.794919678	0.872003795	0.849642508	0.882114608	0.866071962	0.827174584	0.789383231	0.84537966	0.846613339	0.832448605	0.827043867	0.830797619	0.846623219	0.846324407	0.837323357	0.826649518	0.839665305	0.868328663	0.861807329	0.850916695	0.832833445	0.875668375	0.825427368	0.858370589	0.853952372	0.8554544	0.865392817	0.856981935	0.849140438	0.651295371	0.681526603	0.840953967	0.848161581	0.852660455	0.861594608	0.846008352	0.850617444	0.829497066	0.840624878	0.861041119	0.844030079	0.881314769	0.9216171	0.899420699	0.888839646	0.888815963	0.910844011	0.912479729	0.88661751	0.894358945	0.910366869	0.88111358	0.876721434	0.900112566	0.921511989	0.882812271	0.893062474	0.921509747	0.948062175	0.886642529	0.892265158	0.90491106
Hya3	0.78853932	0.759030237	0.930835388	0.803588534	0.780469442	0.807747802	0.827410216	0.801296806	0.864168659	0.82139128	0.838561668	0.855608445	0.823246877	0.833007094	0.839807051	0.775293798	0.76602332	0.757628758	0.787571014	0.810599707	0.837521745	0.800884748	0.550863082	0.44487614	0	0.509882233	0.501617224	0.510947708	0.726225985	0.771996623	0.714517	0.838960439	0.808335329	0.841880878	0.829376388	0.839477109	0.836881208	0.848137733	0.845454069	0.848376505	0.88013239	0.876743793	0.940589009	0.88275279	0.662260116	0.81441916	0.784521325	0.792043192	0.723517437	0.869317405	0.8730879	0.866333705	0.866441526	0.846041981	0.798071691	0.846556683	0.787076452	0.862670445	0.844606646	0.864659289	0.854098541	0.822320507	0.783502035	0.85065402	0.836581802	0.835069334	0.82252648	0.825474272	0.845531668	0.852561224	0.847040306	0.828802282	0.843287634	0.862086161	0.849240185	0.859422094	0.835481607	0.872706419	0.831627488	0.860516106	0.858169811	0.854416316	0.867648149	0.863097362	0.851929556	0.660423009	0.653931671	0.823131526	0.846360261	0.824831272	0.832362333	0.831230508	0.82443468	0.811430054	0.834155558	0.856790603	0.827242681	0.88336948	0.922854743	0.905760822	0.885935296	0.890340576	0.916196347	0.913573775	0.887000295	0.901662402	0.911572072	0.882241727	0.886297927	0.898570538	0.922973559	0.877865811	0.892055995	0.915203455	0.94189005	0.877078772	0.891652707	0.902449085
Hya4	0.821309929	0.817694218	0.94697977	0.83718685	0.835447899	0.869840611	0.888470862	0.846259106	0.899595803	0.852729845	0.86880399	0.885470747	0.870435865	0.869991617	0.87107935	0.803484959	0.822157535	0.80822942	0.798016504	0.838574371	0.864081379	0.853414244	0.404360729	0.519252269	0.509882233	0	0.46027169	0.39434487	0.739570974	0.781233198	0.745224271	0.877760459	0.861673865	0.880079417	0.869456409	0.875730762	0.879867588	0.887105616	0.886889041	0.887635589	0.919607282	0.907294688	0.952121569	0.913218062	0.637251095	0.841702588	0.803337965	0.804823646	0.763787743	0.860779327	0.880387169	0.853157886	0.872263731	0.849054685	0.823375808	0.849558164	0.803380328	0.863567163	0.829226486	0.883117826	0.856994453	0.849486784	0.820343446	0.859754356	0.846390684	0.841867645	0.829006545	0.849620804	0.861888238	0.852000024	0.847924256	0.83418284	0.843622785	0.869301307	0.855838089	0.843622044	0.829138157	0.879248652	0.838776359	0.866992795	0.848834615	0.857723372	0.876152698	0.864177193	0.85914545	0.683801957	0.685477367	0.848126455	0.847962115	0.85239756	0.859926602	0.850797702	0.866710424	0.832487995	0.863500636	0.859238193	0.867830153	0.868194129	0.911906121	0.897101056	0.874806107	0.889585077	0.906332644	0.899436834	0.874734465	0.887061023	0.906335922	0.888244036	0.876487817	0.89288319	0.912723497	0.886567759	0.882800084	0.919345846	0.940477869	0.885464706	0.903101182	0.901052581
Hya7	0.776685917	0.776111084	0.931602005	0.795082786	0.792424521	0.825483332	0.874637964	0.805187104	0.865180234	0.799736458	0.833637778	0.854675783	0.840880842	0.839403841	0.838652239	0.784508755	0.773899508	0.773033121	0.772424684	0.825897491	0.864187274	0.842885659	0.437344379	0.328778212	0.501617224	0.46027169	0	0.448583557	0.710921011	0.753680784	0.729345222	0.85288406	0.835053888	0.859275812	0.842468365	0.845433538	0.860552841	0.862430718	0.863888708	0.862877166	0.899076778	0.887403425	0.945975088	0.891836369	0.570444445	0.838520368	0.773854081	0.808272393	0.752092997	0.862212953	0.861337494	0.839857998	0.853044991	0.845313196	0.829390932	0.856617377	0.808355857	0.865162926	0.837243412	0.861640249	0.835429083	0.84654649	0.817270064	0.869077522	0.856417364	0.849532814	0.849679738	0.847781483	0.865846926	0.861631079	0.849912636	0.831602568	0.85995346	0.853712509	0.857622836	0.847131007	0.826493267	0.877068113	0.83644349	0.849190139	0.846311006	0.84026909	0.859624526	0.847469604	0.838855359	0.641137939	0.660031601	0.80638748	0.819154648	0.836410214	0.837968867	0.817898099	0.830738205	0.80249605	0.847211074	0.836183637	0.848339696	0.841012164	0.894522817	0.868148434	0.847385298	0.865354669	0.887409283	0.879899727	0.853151023	0.85914399	0.877538174	0.84832003	0.842765954	0.867796368	0.89104581	0.851234599	0.858655209	0.930572448	0.946396524	0.904068783	0.909982403	0.914475373
Hya5	0.845584106	0.839779639	0.95320488	0.853856571	0.853486603	0.875064278	0.894006492	0.847021305	0.908194675	0.854476517	0.868699723	0.911280383	0.887086144	0.894280673	0.887755376	0.816283111	0.829405799	0.830648607	0.812807048	0.854120089	0.873388155	0.85574036	0.308609937	0.434769726	0.510947708	0.39434487	0.448583557	0	0.742224558	0.77289223	0.75642756	0.890036782	0.882250397	0.902794141	0.884497767	0.902200856	0.899220318	0.906577056	0.90149514	0.911869996	0.934197657	0.922479492	0.954552373	0.93238558	0.617917211	0.847106789	0.789697866	0.82311319	0.787218427	0.860189606	0.888195347	0.860716666	0.877497795	0.861055655	0.832750739	0.86818077	0.810547349	0.868617901	0.831160421	0.879300746	0.864719167	0.816702563	0.796759906	0.835678493	0.830021787	0.819236068	0.813865535	0.820100754	0.831740824	0.83062118	0.827050365	0.822552705	0.828474385	0.849339418	0.841983071	0.838808183	0.81979926	0.860623219	0.820194697	0.840114451	0.831815569	0.835843149	0.848642897	0.844764215	0.840401625	0.639982378	0.66457906	0.848470172	0.853178957	0.861451238	0.872940349	0.849255994	0.867731034	0.824446602	0.865462053	0.85829151	0.872490399	0.867800526	0.910496663	0.889789234	0.871466424	0.89114396	0.907700951	0.898920147	0.875275196	0.879871199	0.897169855	0.885375513	0.871132994	0.883493697	0.908832079	0.883398845	0.878492963	0.916578428	0.943492419	0.882406525	0.896592663	0.895875156
