index	AD7	AG1	AG2	AG3	AG4	AG6	AG5	AD9	AG7	Emag1	Emag3	Prin1	Prin2	Prin3	Prin4	Eusp1	Eusp2	Eusp3	Eusp4	Emag4	Emag5	Emag6	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Halice1	Halice2	Halice3	Halice4	Halice5	Hgigas1	Hgigas3	Hgigas4	Hgigas5	Hgigas6	Hgigas7	Hgigas8	Hgigas9	Hya6	SYA	SYB	SYC	AD10	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9
Woeseia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001396215	0	0	0	0	0	0.000399893	0.000126191	0.000130762	0	0	0	0	0.00055582	0.00387682	0	0	0	0.001820433	0	0.002318249	0	0.015989036	0
Woesearchaeales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Winogradskyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001247531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wenyingzhuangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011945392	0	0.001213756	0.0017545	0	0	0	0.000757146	0.000326904	0.000389206	0	0.005398701	0	0	0	0	0	0	0	0	0	0	0	0
Weissella	0.003725278	0	0	0	0	0	0	0	0	0	0	0.002184248	0.002379453	0	0.000890076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001210491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WCHB1-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wandonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
W5053	0	0	0	0	0	0	0	0	0	0	0	0	0.00699839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000944703	0.005392566	0.000815149	0.002092191	0.001581278	0.000437801	0.000376128	0	0.000125266	0	0.000562887	0	0.0000625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000240848	0	0	0	0	0.000219829	0	0	0	0	0	0
Vulcaniibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155135	0.000192715	6.74E-05	0	0	0	0	0	0.000261523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitellibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vicingus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004018081	0	0	0	0.001554243	0.000509976	0	0	0	0	0	0	0	0	0	0	0	0.012133273	0.000313519	0.001552271	0.0056926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026333114	0	0	0	0	0.019369895	0	0	0	0
Vicinamibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrionimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000202293	0.000194944	0	6.28E-05	0	0	0.000261523	0.000259471	0	0.004960969	0	0	0	0	0.003203186	0	0	0	0	0	0	0
Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002487016	0	0	0	0	0	0	0	0	0
Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002184933	0	0	0	0	0	0.020168417	0.02539638	0.010019084	0.166067454	0.027320096	0.025770973	0.001872659	0.003933608	0.004000485	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403991093	0.933488694	0.601244101	0.847018911	0	0.061123177	0.000449669	0.429265003	0.037559296	0.297847586	0.057194877	0.019328179	0.66843334	0.007518797	0.488194084	0.056022409	0.00080251	0.028018626	0.013260283	0.00087777	0	0	0.004836228	0	0.010968495	0.003431009	0	0.00220801	0
VHS-B3-70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vermiphilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042007	0	0	0	0
Veillonella	0	0	0	0.000440751	0	0	0	0	0	0	0.01557114	0.000513941	0.002169501	0.006535029	0.004524551	0.006110832	0.002447125	0.001211509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025287	0.046829832	0.036952124	0.015140685	0.044211751	0.000313913	0.03552386	0.000757146	0.119908467	0.018746757	0	0.07222587	0.001525369	0	0	0	8.66E-05	0	0	0	0	0	0	0
Variovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vallitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vagococcus	0.149552967	0	0	0.000314822	0	0	0	0.039627616	0	0	0	0.007002441	0.00986773	0.004145879	0.010013351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002330268	0.009757977	0.003448708	0.004926773	0.003289058	0.001688661	0.000376128	0.001000438	0.000375799	0	0.000312715	0	0.0000625	0	0	0	0	0.108876933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001558307	0.000879314	0	0	0	0	0	0
vadinHA49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000465405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vadinBA26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTBCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uruburuella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urania-1B-19_marine_sediment_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001820433	0	0	0.001265022	0	0
Undibacterium	0	6.29E-05	0	0	0	0.001630401	0	0.024468611	0.000564546	0.054260503	0.055509331	6.42E-05	0	0.01292952	0.012906097	0.066382053	0.058206607	0.054820798	0.041862144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003168893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.30E-05	0.00248876	0.005637605	0.075561407	0.033050646	0.054627305	0.07342273	0.031165805	0.045974329	0.004265579	0.034928667	0.041647632	0.155831669
